published_cat_id,analysis_cat_id,source_cat_tokens,gender_published,target_years_published,age_group_published,raw_file_rows,unique_audio_rows,vggish_embedding_rows,embedding_surplus_rows,analysis_include,qc_flags
000A,000A,000A,F,5,adult,39,39,39,0,true,
000B,000B,000B,F,2;5,adult,19,19,19,0,true,same_cat_multiple_target_years
001A,001A,001A,M,10,senior,9,9,14,5,true,
002A,002A,002A,F,6,adult,13,13,13,0,true,
002B,002B,002B,M,6,adult,30,30,32,2,true,
003A,003A,003A,M,2.5,adult,4,4,4,0,true,
004A,004A,004A,F,4,adult,1,1,1,0,true,
005A,005A,005A,M,8,adult,9,9,10,1,true,
006A,006A,006A,M,2,adult,3,3,3,0,true,
007A,007A,007A,M,6,adult,6,6,6,0,true,
008A,008A,008A,M,11,senior,5,5,6,1,true,
009A,009A,009A,F,6,adult,4,4,4,0,true,
010A,010A,010A,M,1,adult,3,3,8,5,true,
011A,011A,011A,F,17,senior,2,2,2,0,true,
012A,012A,012A,M,2,adult,3,3,3,0,true,
013B,013B,013B,F,7.5,adult,8,8,8,0,true,
014A,014A,014A,F,1.5,adult,3,3,3,0,true,
014B,014B,014B,X,0,kitten,10,10,10,0,true,
015A,015A,015A,M,11,senior,7,7,9,2,true,
016A,016A,016A,M,13,senior,9,9,10,1,true,
018A,018A,018A,M,3,adult,2,2,2,0,true,
019A,019A,019A,X,7,adult,17,17,17,0,true,
019B,019B,019B,X,4,adult,1,1,1,0,true,
020A,020A,020AB,M,8,adult,20,20,23,3,true,cat_token_020AB_mapped_to_020A
021A,021A,021A,M,2.5,adult,5,5,5,0,true,
022A,022A,022A,F,0.5,adult,9,9,9,0,true,
023A,023A,023A,M,4,adult,6,6,6,0,true,
023B,023B,023B,M,6,adult,4,4,5,1,true,
024A,024A,024A,M,15,senior,1,1,1,0,true,
025A,025A,025A,F,10,senior,10,10,11,1,true,
025B,025B,025B,F,7,adult,2,2,2,0,true,
025C,025C,025C,M,10,senior,4,4,5,1,true,
026A,026A,026A,F,7,adult,4,4,4,0,true,
026B,026B,026B,M,7,adult,1,1,1,0,true,
026C,026C,026C,F,7,adult,1,1,1,0,true,
027A,027A,027A,M,4,adult,7,7,7,0,true,
028A,028A,028A,F,10,senior,11,11,13,2,true,
029A,029A,029A,M,3,adult,15,15,17,2,true,
031A,031A,031A,F,2,adult,7,7,7,0,true,
032A,032A,032A,X,4,adult,2,2,2,0,true,
033A,033A,033A,M,6,adult,9,9,9,0,true,
034A,034A,034A,X,6,adult,3,3,5,2,true,
035A,035A,035A,X,6,adult,2,2,4,2,true,
036A,036A,036A,X,6,adult,7,7,11,4,true,
037A,037A,037A,X,7,adult,2,2,6,4,true,
038A,038A,038A,F,7,adult,2,2,2,0,true,
039A,039A,039A,X,10,senior,6,6,12,6,true,
040A,040A,040A,X,0,kitten,10,10,10,0,true,
041A,041A,041A,X,0,kitten,1,1,1,0,true,exact_audio_duplicate_canonical_copy
042A,042A,042A,X,0,kitten,11,11,14,3,true,
043A,043A,043A,X,0,kitten,1,1,1,0,true,
044A,044A,044A,X,0,kitten,5,5,5,0,true,
045A,045A,045A,X,0,kitten,4,4,9,5,true,
046A,046A,046A,X,0,kitten,45,45,63,18,true,
047A,047A,047A,X,0,kitten,22,22,28,6,true,
048A,048A,048A,X,0,kitten,1,1,1,0,true,
049A,041A,049A,X,0,kitten,1,1,1,0,false,exact_audio_duplicate_excluded_from_clean_analysis
050A,050A,050A,X,0,kitten,5,5,7,2,true,
051A,051A,051A,F,14,senior,12,12,12,0,true,
051B,051B,051B,M,16,senior,9,9,9,0,true,
052A,052A,052A,F,9,adult,2,2,4,2,true,
053A,053A,053A,F,11,senior,3,3,6,3,true,
054A,054A,054A,X,12,senior,2,2,2,0,true,
055A,055A,055A,F,13,senior,12,12,20,8,true,
056A,056A,056A,X,15,senior,3,3,3,0,true,
057A,057A,057A,X,16,senior,17,17,27,10,true,
058A,058A,058A,X,16,senior,3,3,3,0,true,
059A,059A,059A,M,18,senior,10,10,14,4,true,
060A,060A,060A,F,10,senior,3,3,3,0,true,
061A,061A,061A,M,16,senior,2,2,2,0,true,
062A,062A,062A,X,1,adult,3,3,4,1,true,
063A,063A,063A,X,1,adult,11,11,11,0,true,
064A,064A,064A,X,1,adult,1,1,3,2,true,
065A,065A,065A,F,1,adult,9,9,9,0,true,
066A,066A,066A,M,1,adult,1,1,1,0,true,
067A,067A,067A,M,1,adult,11,11,19,8,true,
068A,068A,068A,X,2,adult,8,8,11,3,true,
069A,069A,069A,X,2,adult,2,2,2,0,true,
070A,070A,070A,F,3,adult,5,5,5,0,true,
071A,071A,071A,X,3,adult,9,9,10,1,true,
072A,072A,072A,X,3,adult,9,9,9,0,true,
073A,073A,073A,X,3,adult,1,1,1,0,true,
074A,074A,074A,M,4,adult,16,16,25,9,true,
075A,075A,075A,M,1,adult,5,5,5,0,true,
076A,076A,076A,M,2,adult,1,1,1,0,true,
087A,087A,087A,M,2,adult,2,2,2,0,true,
088A,088A,088A,M,3,adult,1,1,1,0,true,
090A,090A,090A,F,18,senior,1,1,1,0,true,
091A,091A,091A,M,11,senior,1,1,1,0,true,
092A,092A,092A,M,3,adult,1,1,1,0,true,
093A,093A,093A,X,14,senior,2,2,2,0,true,
094A,094A,094A,M,16,senior,5,5,8,3,true,
095A,095A,095A,M,6,adult,7,7,8,1,true,
096A,096A,096A,X,5,adult,1,1,1,0,true,
097A,097A,097A,X,17,senior,15,15,16,1,true,
097B,097B,097B,X,7,adult,14,14,14,0,true,
099A,099A,099A,F,5.25,adult,6,6,7,1,true,
100A,100A,100A,M,2,adult,1,1,1,0,true,
101A,101A,101A,F,10,senior,12,12,15,3,true,
102A,102A,102A,M,8,adult,2,2,2,0,true,
103A,103A,103A,M,10,senior,33,33,33,0,true,
104A,104A,104A,F,15,senior,4,4,4,0,true,
105A,105A,105A,M,3,adult,3,3,4,1,true,
106A,106A,106A,M,15,senior,13,13,14,1,true,
108A,108A,108A,F,16,senior,5,5,6,1,true,
109A,109A,109A,X,0,kitten,5,5,6,1,true,
110A,110A,110A,X,0,kitten,1,1,1,0,true,
