repeat,outer_seed,inner_seed,outer_fold,cat_id,age_group,call_count,role
0,104729,105729,0,006A,adult,3,test
0,104729,105729,0,007A,adult,6,test
0,104729,105729,0,009A,adult,4,test
0,104729,105729,0,014A,adult,3,test
0,104729,105729,0,014B,kitten,10,test
0,104729,105729,0,015A,senior,7,test
0,104729,105729,0,016A,senior,9,test
0,104729,105729,0,025C,senior,4,test
0,104729,105729,0,026C,adult,1,test
0,104729,105729,0,029A,adult,15,test
0,104729,105729,0,031A,adult,7,test
0,104729,105729,0,032A,adult,2,test
0,104729,105729,0,033A,adult,9,test
0,104729,105729,0,035A,adult,2,test
0,104729,105729,0,039A,senior,6,test
0,104729,105729,0,043A,kitten,1,test
0,104729,105729,0,044A,kitten,5,test
0,104729,105729,0,045A,kitten,4,test
0,104729,105729,0,057A,senior,17,test
0,104729,105729,0,067A,adult,11,test
0,104729,105729,0,070A,adult,5,test
0,104729,105729,0,071A,adult,9,test
0,104729,105729,0,075A,adult,5,test
0,104729,105729,0,076A,adult,1,test
0,104729,105729,0,090A,senior,1,test
0,104729,105729,0,091A,senior,1,test
0,104729,105729,0,105A,adult,3,test
0,104729,105729,0,116A,senior,12,test
0,104729,105729,0,000A,adult,39,train
0,104729,105729,0,000B,adult,19,train
0,104729,105729,0,001A,senior,9,train
0,104729,105729,0,002A,adult,13,train
0,104729,105729,0,002B,adult,30,train
0,104729,105729,0,003A,adult,4,train
0,104729,105729,0,004A,adult,1,train
0,104729,105729,0,005A,adult,9,train
0,104729,105729,0,008A,senior,5,train
0,104729,105729,0,010A,adult,3,train
0,104729,105729,0,011A,senior,2,train
0,104729,105729,0,018A,adult,2,train
0,104729,105729,0,019A,adult,17,train
0,104729,105729,0,019B,adult,1,train
0,104729,105729,0,020A,adult,20,train
0,104729,105729,0,022A,adult,9,train
0,104729,105729,0,023A,adult,6,train
0,104729,105729,0,023B,adult,4,train
0,104729,105729,0,024A,senior,1,train
0,104729,105729,0,025A,senior,10,train
0,104729,105729,0,025B,adult,2,train
0,104729,105729,0,026B,adult,1,train
0,104729,105729,0,027A,adult,7,train
0,104729,105729,0,028A,senior,11,train
0,104729,105729,0,034A,adult,3,train
0,104729,105729,0,036A,adult,7,train
0,104729,105729,0,037A,adult,2,train
0,104729,105729,0,038A,adult,2,train
0,104729,105729,0,040A,kitten,10,train
0,104729,105729,0,041A,kitten,1,train
0,104729,105729,0,042A,kitten,11,train
0,104729,105729,0,046A,kitten,45,train
0,104729,105729,0,048A,kitten,1,train
0,104729,105729,0,050A,kitten,5,train
0,104729,105729,0,051A,senior,12,train
0,104729,105729,0,052A,adult,2,train
0,104729,105729,0,053A,senior,3,train
0,104729,105729,0,054A,senior,2,train
0,104729,105729,0,056A,senior,3,train
0,104729,105729,0,058A,senior,3,train
0,104729,105729,0,059A,senior,10,train
0,104729,105729,0,061A,senior,2,train
0,104729,105729,0,062A,adult,3,train
0,104729,105729,0,064A,adult,1,train
0,104729,105729,0,065A,adult,9,train
0,104729,105729,0,068A,adult,8,train
0,104729,105729,0,072A,adult,9,train
0,104729,105729,0,073A,adult,1,train
0,104729,105729,0,087A,adult,2,train
0,104729,105729,0,088A,adult,1,train
0,104729,105729,0,092A,adult,1,train
0,104729,105729,0,094A,senior,5,train
0,104729,105729,0,097A,senior,15,train
0,104729,105729,0,097B,adult,14,train
0,104729,105729,0,099A,adult,6,train
0,104729,105729,0,100A,adult,1,train
0,104729,105729,0,101A,senior,12,train
0,104729,105729,0,102A,adult,2,train
0,104729,105729,0,103A,senior,33,train
0,104729,105729,0,104A,senior,4,train
0,104729,105729,0,106A,senior,13,train
0,104729,105729,0,109A,kitten,5,train
0,104729,105729,0,111A,kitten,12,train
0,104729,105729,0,113A,senior,3,train
0,104729,105729,0,115A,kitten,1,train
0,104729,105729,0,117A,senior,7,train
0,104729,105729,0,012A,adult,3,validation
0,104729,105729,0,013B,adult,8,validation
0,104729,105729,0,021A,adult,5,validation
0,104729,105729,0,026A,adult,4,validation
0,104729,105729,0,047A,kitten,22,validation
0,104729,105729,0,051B,senior,9,validation
0,104729,105729,0,055A,senior,12,validation
0,104729,105729,0,060A,senior,3,validation
0,104729,105729,0,063A,adult,11,validation
0,104729,105729,0,066A,adult,1,validation
0,104729,105729,0,069A,adult,2,validation
0,104729,105729,0,074A,adult,16,validation
0,104729,105729,0,093A,senior,2,validation
0,104729,105729,0,095A,adult,7,validation
0,104729,105729,0,096A,adult,1,validation
0,104729,105729,0,108A,senior,5,validation
0,104729,105729,0,110A,kitten,1,validation
0,104729,105730,1,000A,adult,39,test
0,104729,105730,1,001A,senior,9,test
0,104729,105730,1,003A,adult,4,test
0,104729,105730,1,008A,senior,5,test
0,104729,105730,1,019B,adult,1,test
0,104729,105730,1,020A,adult,20,test
0,104729,105730,1,022A,adult,9,test
0,104729,105730,1,023A,adult,6,test
0,104729,105730,1,025A,senior,10,test
0,104729,105730,1,026B,adult,1,test
0,104729,105730,1,047A,kitten,22,test
0,104729,105730,1,050A,kitten,5,test
0,104729,105730,1,054A,senior,2,test
0,104729,105730,1,061A,senior,2,test
0,104729,105730,1,062A,adult,3,test
0,104729,105730,1,063A,adult,11,test
0,104729,105730,1,064A,adult,1,test
0,104729,105730,1,065A,adult,9,test
0,104729,105730,1,068A,adult,8,test
0,104729,105730,1,069A,adult,2,test
0,104729,105730,1,074A,adult,16,test
0,104729,105730,1,095A,adult,7,test
0,104729,105730,1,100A,adult,1,test
0,104729,105730,1,101A,senior,12,test
0,104729,105730,1,106A,senior,13,test
0,104729,105730,1,111A,kitten,12,test
0,104729,105730,1,115A,kitten,1,test
0,104729,105730,1,117A,senior,7,test
0,104729,105730,1,002A,adult,13,train
0,104729,105730,1,002B,adult,30,train
0,104729,105730,1,004A,adult,1,train
0,104729,105730,1,006A,adult,3,train
0,104729,105730,1,009A,adult,4,train
0,104729,105730,1,010A,adult,3,train
0,104729,105730,1,011A,senior,2,train
0,104729,105730,1,013B,adult,8,train
0,104729,105730,1,014B,kitten,10,train
0,104729,105730,1,015A,senior,7,train
0,104729,105730,1,016A,senior,9,train
0,104729,105730,1,018A,adult,2,train
0,104729,105730,1,019A,adult,17,train
0,104729,105730,1,021A,adult,5,train
0,104729,105730,1,023B,adult,4,train
0,104729,105730,1,025B,adult,2,train
0,104729,105730,1,025C,senior,4,train
0,104729,105730,1,026A,adult,4,train
0,104729,105730,1,026C,adult,1,train
0,104729,105730,1,028A,senior,11,train
0,104729,105730,1,029A,adult,15,train
0,104729,105730,1,031A,adult,7,train
0,104729,105730,1,032A,adult,2,train
0,104729,105730,1,034A,adult,3,train
0,104729,105730,1,035A,adult,2,train
0,104729,105730,1,036A,adult,7,train
0,104729,105730,1,037A,adult,2,train
0,104729,105730,1,038A,adult,2,train
0,104729,105730,1,039A,senior,6,train
0,104729,105730,1,041A,kitten,1,train
0,104729,105730,1,042A,kitten,11,train
0,104729,105730,1,044A,kitten,5,train
0,104729,105730,1,045A,kitten,4,train
0,104729,105730,1,046A,kitten,45,train
0,104729,105730,1,048A,kitten,1,train
0,104729,105730,1,051A,senior,12,train
0,104729,105730,1,051B,senior,9,train
0,104729,105730,1,052A,adult,2,train
0,104729,105730,1,053A,senior,3,train
0,104729,105730,1,055A,senior,12,train
0,104729,105730,1,056A,senior,3,train
0,104729,105730,1,057A,senior,17,train
0,104729,105730,1,058A,senior,3,train
0,104729,105730,1,067A,adult,11,train
0,104729,105730,1,070A,adult,5,train
0,104729,105730,1,071A,adult,9,train
0,104729,105730,1,072A,adult,9,train
0,104729,105730,1,073A,adult,1,train
0,104729,105730,1,075A,adult,5,train
