repeat,outer_seed,cat_id,age_group,call_count,outer_fold
0,104729,000A,adult,39,1
0,104729,000B,adult,19,2
0,104729,001A,senior,9,1
0,104729,002A,adult,13,3
0,104729,002B,adult,30,2
0,104729,003A,adult,4,1
0,104729,004A,adult,1,3
0,104729,005A,adult,9,2
0,104729,006A,adult,3,0
0,104729,007A,adult,6,0
0,104729,008A,senior,5,1
0,104729,009A,adult,4,0
0,104729,010A,adult,3,2
0,104729,011A,senior,2,3
0,104729,012A,adult,3,2
0,104729,013B,adult,8,2
0,104729,014A,adult,3,0
0,104729,014B,kitten,10,0
0,104729,015A,senior,7,0
0,104729,016A,senior,9,0
0,104729,018A,adult,2,3
0,104729,019A,adult,17,3
0,104729,019B,adult,1,1
0,104729,020A,adult,20,1
0,104729,021A,adult,5,2
0,104729,022A,adult,9,1
0,104729,023A,adult,6,1
0,104729,023B,adult,4,3
0,104729,024A,senior,1,2
0,104729,025A,senior,10,1
0,104729,025B,adult,2,3
0,104729,025C,senior,4,0
0,104729,026A,adult,4,3
0,104729,026B,adult,1,1
0,104729,026C,adult,1,0
0,104729,027A,adult,7,3
0,104729,028A,senior,11,3
0,104729,029A,adult,15,0
0,104729,031A,adult,7,0
0,104729,032A,adult,2,0
0,104729,033A,adult,9,0
0,104729,034A,adult,3,3
0,104729,035A,adult,2,0
0,104729,036A,adult,7,2
0,104729,037A,adult,2,2
0,104729,038A,adult,2,3
0,104729,039A,senior,6,0
0,104729,040A,kitten,10,3
0,104729,041A,kitten,1,2
0,104729,042A,kitten,11,2
0,104729,043A,kitten,1,0
0,104729,044A,kitten,5,0
0,104729,045A,kitten,4,0
0,104729,046A,kitten,45,2
0,104729,047A,kitten,22,1
0,104729,048A,kitten,1,3
0,104729,050A,kitten,5,1
0,104729,051A,senior,12,2
0,104729,051B,senior,9,3
0,104729,052A,adult,2,3
0,104729,053A,senior,3,2
0,104729,054A,senior,2,1
0,104729,055A,senior,12,2
0,104729,056A,senior,3,3
0,104729,057A,senior,17,0
0,104729,058A,senior,3,2
0,104729,059A,senior,10,3
0,104729,060A,senior,3,3
0,104729,061A,senior,2,1
0,104729,062A,adult,3,1
0,104729,063A,adult,11,1
0,104729,064A,adult,1,1
0,104729,065A,adult,9,1
0,104729,066A,adult,1,2
0,104729,067A,adult,11,0
0,104729,068A,adult,8,1
0,104729,069A,adult,2,1
0,104729,070A,adult,5,0
0,104729,071A,adult,9,0
0,104729,072A,adult,9,3
0,104729,073A,adult,1,2
0,104729,074A,adult,16,1
0,104729,075A,adult,5,0
0,104729,076A,adult,1,0
0,104729,087A,adult,2,3
0,104729,088A,adult,1,3
0,104729,090A,senior,1,0
0,104729,091A,senior,1,0
0,104729,092A,adult,1,2
0,104729,093A,senior,2,2
0,104729,094A,senior,5,3
0,104729,095A,adult,7,1
0,104729,096A,adult,1,2
0,104729,097A,senior,15,2
0,104729,097B,adult,14,2
0,104729,099A,adult,6,3
0,104729,100A,adult,1,1
0,104729,101A,senior,12,1
0,104729,102A,adult,2,2
0,104729,103A,senior,33,3
0,104729,104A,senior,4,2
0,104729,105A,adult,3,0
0,104729,106A,senior,13,1
0,104729,108A,senior,5,3
0,104729,109A,kitten,5,2
0,104729,110A,kitten,1,3
0,104729,111A,kitten,12,1
0,104729,113A,senior,3,2
0,104729,115A,kitten,1,1
0,104729,116A,senior,12,0
0,104729,117A,senior,7,1
1,130363,000A,adult,39,1
1,130363,000B,adult,19,1
1,130363,001A,senior,9,1
1,130363,002A,adult,13,0
1,130363,002B,adult,30,3
1,130363,003A,adult,4,2
1,130363,004A,adult,1,1
