repeat,outer_fold,draw,placement_seed,layer_1_one_based,layer_2_one_based
0,0,0,880301,2,6
0,0,1,880301,5,10
0,1,0,880302,2,5
0,1,1,880302,2,10
0,2,0,880303,5,10
0,2,1,880303,3,9
0,3,0,880304,11,12
0,3,1,880304,1,8
1,0,0,880401,4,12
1,0,1,880401,4,11
1,1,0,880402,8,10
1,1,1,880402,2,4
1,2,0,880403,1,7
1,2,1,880403,1,11
1,3,0,880404,9,12
1,3,1,880404,2,3
2,0,0,880501,2,7
2,0,1,880501,10,11
2,1,0,880502,1,7
2,1,1,880502,9,12
2,2,0,880503,2,4
2,2,1,880503,2,7
2,3,0,880504,1,8
2,3,1,880504,1,5
3,0,0,880601,1,10
3,0,1,880601,1,11
3,1,0,880602,5,8
3,1,1,880602,4,8
3,2,0,880603,6,9
3,2,1,880603,5,12
3,3,0,880604,7,9
3,3,1,880604,8,9
4,0,0,880701,4,11
4,0,1,880701,5,6
4,1,0,880702,5,9
4,1,1,880702,1,8
4,2,0,880703,2,12
4,2,1,880703,1,11
4,3,0,880704,6,11
4,3,1,880704,6,7
