outer_fold,cat_id,age_group,call_count,role
0,001A,senior,9,test
0,002A,adult,13,test
0,003A,adult,4,test
0,006A,adult,3,test
0,008A,senior,5,test
0,012A,adult,3,test
0,014A,adult,3,test
0,019B,adult,1,test
0,022A,adult,9,test
0,023A,adult,6,test
0,025B,adult,2,test
0,028A,senior,11,test
0,033A,adult,9,test
0,040A,kitten,10,test
0,043A,kitten,1,test
0,044A,kitten,5,test
0,050A,kitten,5,test
0,052A,adult,2,test
0,053A,senior,3,test
0,068A,adult,8,test
0,070A,adult,5,test
0,076A,adult,1,test
0,096A,adult,1,test
0,099A,adult,6,test
0,101A,senior,12,test
0,103A,senior,33,test
0,106A,senior,13,test
0,113A,senior,3,test
0,000A,adult,39,train
0,000B,adult,19,train
0,007A,adult,6,train
0,009A,adult,4,train
0,010A,adult,3,train
0,011A,senior,2,train
0,013B,adult,8,train
0,014B,kitten,10,train
0,015A,senior,7,train
0,016A,senior,9,train
0,018A,adult,2,train
0,019A,adult,17,train
0,020A,adult,20,train
0,024A,senior,1,train
0,025A,senior,10,train
0,025C,senior,4,train
0,026B,adult,1,train
0,026C,adult,1,train
0,029A,adult,15,train
0,032A,adult,2,train
0,034A,adult,3,train
0,035A,adult,2,train
0,037A,adult,2,train
0,038A,adult,2,train
0,039A,senior,6,train
0,041A,kitten,1,train
0,042A,kitten,11,train
0,045A,kitten,4,train
0,046A,kitten,45,train
0,047A,kitten,22,train
0,048A,kitten,1,train
0,051A,senior,12,train
0,051B,senior,9,train
0,055A,senior,12,train
0,056A,senior,3,train
0,057A,senior,17,train
0,058A,senior,3,train
0,059A,senior,10,train
0,062A,adult,3,train
0,063A,adult,11,train
0,064A,adult,1,train
0,065A,adult,9,train
0,066A,adult,1,train
0,067A,adult,11,train
0,069A,adult,2,train
0,071A,adult,9,train
0,072A,adult,9,train
0,074A,adult,16,train
0,075A,adult,5,train
0,087A,adult,2,train
0,088A,adult,1,train
0,091A,senior,1,train
0,092A,adult,1,train
0,093A,senior,2,train
0,094A,senior,5,train
0,095A,adult,7,train
0,097A,senior,15,train
0,097B,adult,14,train
0,100A,adult,1,train
