cat_id,age_group,call_count,outer_fold
000A,adult,39,3
000B,adult,19,3
001A,senior,9,0
002A,adult,13,0
002B,adult,30,3
003A,adult,4,0
004A,adult,1,3
005A,adult,9,1
006A,adult,3,0
007A,adult,6,1
008A,senior,5,0
009A,adult,4,3
010A,adult,3,1
011A,senior,2,3
012A,adult,3,0
013B,adult,8,3
014A,adult,3,0
014B,kitten,10,1
015A,senior,7,2
016A,senior,9,1
018A,adult,2,2
019A,adult,17,2
019B,adult,1,0
020A,adult,20,1
021A,adult,5,3
022A,adult,9,0
023A,adult,6,0
023B,adult,4,1
024A,senior,1,2
025A,senior,10,1
025B,adult,2,0
025C,senior,4,2
026A,adult,4,2
026B,adult,1,1
026C,adult,1,3
027A,adult,7,2
028A,senior,11,0
029A,adult,15,3
031A,adult,7,2
032A,adult,2,3
033A,adult,9,0
034A,adult,3,2
035A,adult,2,1
036A,adult,7,1
037A,adult,2,1
038A,adult,2,2
039A,senior,6,3
040A,kitten,10,0
041A,kitten,1,2
042A,kitten,11,1
043A,kitten,1,0
044A,kitten,5,0
045A,kitten,4,1
046A,kitten,45,2
047A,kitten,22,1
048A,kitten,1,3
050A,kitten,5,0
051A,senior,12,1
051B,senior,9,2
052A,adult,2,0
053A,senior,3,0
054A,senior,2,3
055A,senior,12,1
056A,senior,3,1
057A,senior,17,3
058A,senior,3,2
059A,senior,10,2
060A,senior,3,3
061A,senior,2,1
062A,adult,3,2
063A,adult,11,3
064A,adult,1,2
065A,adult,9,2
066A,adult,1,1
067A,adult,11,2
068A,adult,8,0
069A,adult,2,1
070A,adult,5,0
071A,adult,9,3
072A,adult,9,2
073A,adult,1,2
074A,adult,16,1
075A,adult,5,3
076A,adult,1,0
087A,adult,2,1
088A,adult,1,1
090A,senior,1,3
091A,senior,1,3
092A,adult,1,3
093A,senior,2,3
094A,senior,5,1
095A,adult,7,1
096A,adult,1,0
097A,senior,15,2
097B,adult,14,2
099A,adult,6,0
100A,adult,1,1
101A,senior,12,0
102A,adult,2,3
103A,senior,33,0
104A,senior,4,3
105A,adult,3,2
106A,senior,13,0
108A,senior,5,2
109A,kitten,5,2
110A,kitten,1,3
111A,kitten,12,3
113A,senior,3,0
115A,kitten,1,2
116A,senior,12,2
117A,senior,7,1
